Geo Point;Geo Shape;ID_PR;NOM_PR;NB_PL_PR;NB_PL_COV;NB_PL_PMR;NB_PL_ELEC;NB_PL_2RM;NB_PL_V;LABEL_PR;MOA_PR;GESTION_PR;STRUCT_PR;WWW;MES_DATE;MES_ANNEE;INSEE_T;NOM_COMM;ADRES_PR;ID_REF_ZDL;NOM_ZDL;ID_REF_LDA;NOM_LDA;NOM_GARE
48.8264179268,1.70198839406;"{""type"": ""MultiPoint"", ""coordinates"": [[1.701988394062564, 48.826417926787954, 0.0]]}";30.0;Orgerus;179.0;0.0;5.0;2.0;0.0;0.0;1.0;Orgerus;Ville;sol;;2011-11-07T01:00:00+01:00;2011.0;78465;Orgerus;Rue du clos aux biches;47921.0;Orgerus Bhoust;64175.0;Orgerus Bhoust;ORGERUS-BEHOUST (SNCF)
48.3779378,2.8013249;"{""type"": ""MultiPoint"", ""coordinates"": [[2.8013249, 48.3779377999852, 0.0]]}";23.0;Moret Veneux les sablons;630.0;0.0;0.0;0.0;0.0;0.0;1.0;SNCF;Effia;sol;www.resaplace.com;2012-12-14T01:00:00+01:00;2016.0;77491;Veneux-les-Sablons;50 Avenue de la Gare, Veneux les sablons;47130.0;Moret Veneux-les-Sablons;61410.0;Moret Veneux-les-Sablons;LONGUEVILLE (SNCF)
48.8401457,2.5454603;"{""type"": ""MultiPoint"", ""coordinates"": [[2.5454603, 48.840145699986266, 0.0]]}";29.0;Mont d'Est;0.0;0.0;14.0;0.0;0.0;0.0;1.0;;;;;2012-12-14T01:00:00+01:00;2012.0;93051;Noisy-le-Grand;;43173.0;Noisy-le-Grand Mont d'Est;412697.0;Noisy-le-Grand Mont d'Est;NOISY-CHAMPS-CHAMPY-NESLES (RATP)
48.8739519905,2.58162154602;"{""type"": ""MultiPoint"", ""coordinates"": [[2.581621546016076, 48.8739519905213, 0.0]]}";12.0;Chelles Gournay;548.0;2.0;4.0;2.0;0.0;0.0;1.0;SNCF;Effia;ouvrage;www.resaplace.com;2012-09-19T02:00:00+02:00;2012.0;77108;Chelles;4 avenue du marchal de lattre de tassigny, 77500, Chelles;58879.0;Chelles Gournay;68407.0;Chelles Gournay;CHELLES-GOURNAY (SNCF)
49.0461602177,2.09313418803;"{""type"": ""MultiPoint"", ""coordinates"": [[2.093134188026712, 49.04616021768977, 0.0]]}";31.0;Pontoise Canrobert;503.0;0.0;11.0;5.0;0.0;0.0;1.0;SNCF;Effia;ouvrage;www.resaplace.com;2014-12-22T01:00:00+01:00;2014.0;95500;Pontoise;26 Avenue du Marchal Canrobert, 95300 Pontoise;44496.0;Pontoise Gare (Canrobert);66816.0;Pontoise (Gare);PONTOISE (SNCF)
48.7862034,2.0439044;"{""type"": ""MultiPoint"", ""coordinates"": [[2.0439044, 48.786203399986135, 0.0]]}";35.0;Jol Le Theule;219.0;0.0;6.0;0.0;0.0;0.0;1.0;CASQY;Q-Park;ouvrage;www.saint-quentin-en-yvelines.fr;2014-03-24T01:00:00+01:00;2014.0;78423;Montigny-le-Bretonneux;10 Rue Jol le Theule, 78180 Montigny-le-Bretonneux;43249.0;Saint-Quentin-en-Yvelines (Avenue des Prs);63812.0;Saint-Quentin-en-Yvelines (Gare);SAINT-QUENTIN-EN-YVELINES (SNCF)
48.9547605047,2.87308767362;"{""type"": ""MultiPoint"", ""coordinates"": [[2.873087673623596, 48.95476050471351, 0.0]]}";27.0;Meaux Sud;147.0;2.0;3.0;0.0;0.0;0.0;1.0;SNCF;Effia;sol;www.resaplace.com;2011-04-19T02:00:00+02:00;2011.0;77284;Meaux;1B Rue de Venise, 77100 Meaux;43161.0;Meaux (Gare);68963.0;Meaux (Gare);MEAUX (SNCF)
48.9805758339,2.26838051123;"{""type"": ""MultiPoint"", ""coordinates"": [[2.268380511231479, 48.98057583386371, 0.0]]}";21.0;Ermont Eaubonne;485.0;0.0;10.0;3.0;0.0;0.0;1.0;SNCF;Effia;ouvrage;www.resaplace.com;2015-12-15T01:00:00+01:00;2015.0;95219;Ermont;1 Rue Raoul Dautry, 95120 Ermont;47898.0;Ermont Eaubonne (Gare);65669.0;Ermont Eaubonne (Gare);LONGUEVILLE (SNCF)
48.8889869809,2.51386487083;"{""type"": ""MultiPoint"", ""coordinates"": [[2.513864870829596, 48.88898698091792, 0.0]]}";32.0;Le Raincy;151.0;0.0;4.0;2.0;0.0;0.0;1.0;SNCF;Effia;ouvrage;www.resaplace.com;2016-08-04T02:00:00+02:00;2016.0;93062;Le Raincy;Cour de la Gare, 93340 Le Raincy;47901.0;Le Raincy Villemomble Montfermeil;73297.0;Raincy Villemomble;RAINCY-VILLEMOMBLE-MONTFERMEIL (LE) (SNCF)
49.0363843399,2.07733096708;"{""type"": ""MultiPoint"", ""coordinates"": [[2.077330967076275, 49.03638433993074, 0.0]]}";8.0;Les Arts;327.0;0.0;8.0;3.0;0.0;0.0;1.0;CACP;Indigo;ouvrage;www.parkindigo.com;2012-02-01T01:00:00+01:00;2012.0;95127;Cergy;3 rue de la prfecture 95000 Cergy;44559.0;Cergy Prfecture;66696.0;Cergy Prfecture;CERGY-PREFECTURE (SNCF)
49.0381113404,2.0779650745;"{""type"": ""MultiPoint"", ""coordinates"": [[2.077965074495461, 49.03811134039724, 0.0]]}";9.0;Oise;167.0;0.0;8.0;3.0;0.0;0.0;1.0;CACP;Indigo;ouvrage;;2012-10-01T02:00:00+02:00;2012.0;95127;Cergy;2 boulevard de l'Oise 95000 Cergy;51782.0;Chauffours / Marjoberts / Universit;66726.0;Universit;CERGY-PREFECTURE (SNCF)
48.6806406,2.5351526;"{""type"": ""MultiPoint"", ""coordinates"": [[2.5351526, 48.68064059998593, 0.0]]}";6.0;Deux Communes;85.0;0.0;1.0;0.0;0.0;0.0;1.0;Boussy Saint Antoine;Effia;sol;;2011-06-14T02:00:00+02:00;2011.0;91514;Quincy-sous-Snart;6 Rue des 2 Communes, 91480 Quincy-sous-Snart;47924.0;Boussy-Saint-Antoine (Gare);62596.0;Boussy-Saint-Antoine (Gare);BOUSSY-SAINT-ANTOINE (SNCF)
48.8361576,2.7077261;"{""type"": ""MultiPoint"", ""coordinates"": [[2.7077261, 48.83615759998627, 0.0]]}";7.0;Bussy-Saint-Georges;407.0;0.0;0.0;0.0;0.0;0.0;1.0;CA Marne et Gondoire;;ouvrage;www.saemes.fr;2011-02-01T01:00:00+01:00;2011.0;77058;Bussy-Saint-Georges;5 Boulevard Pierre Mends France, 77600 Bussy-Saint-Georges;58874.0;Bussy-Saint-Georges (Gare);68105.0;Bussy-Saint-Georges (Gare);BUSSY SAINT-GEORGES (RATP)
48.7523020203,2.50537327295;"{""type"": ""MultiPoint"", ""coordinates"": [[2.505373272950574, 48.75230202029485, 0.0]]}";2.0;Boissy St Lger;350.0;0.0;0.0;0.0;0.0;0.0;1.0;CAHVM;Indigo;ouvrage;www.parkindigo.fr;2012-12-14T01:00:00+01:00;2012.0;94004;Boissy-Saint-Lger;8 Boulevard de la Gare, 94470 Boissy-Saint-Lger;43094.0;Boissy-Saint-Lger (Gare);72881.0;Boissy-Saint-Lger (Gare);BOISSY-SAINT-LEGER (RATP)
48.5136014668,3.2496545091;"{""type"": ""MultiPoint"", ""coordinates"": [[3.249654509101789, 48.51360146680518, 0.0]]}";22.0;Longueville;396.0;0.0;0.0;0.0;0.0;0.0;1.0;SNCF;Effia;ouvrage;www.resaplace.com;2012-12-14T01:00:00+01:00;2017.0;77260;Longueville;Rue de Verdun, 77650 Longueville;47914.0;Longueville (Gare);61858.0;Longueville (Gare);LONGUEVILLE (SNCF)
48.61411342,2.88739326608;"{""type"": ""MultiPoint"", ""coordinates"": [[2.887393266080424, 48.614113420039146, 0.0]]}";44.0;Mormant;519.0;0.0;0.0;0.0;0.0;0.0;1.0;SNCF;Effia;sol;;;0.0;77317;Mormant;;47184.0;Mormant (Gare);62351.0;Mormant (Gare);MORMANT (SNCF)
48.7587078355,2.19206702286;"{""type"": ""MultiPoint"", ""coordinates"": [[2.192067022856498, 48.75870783553584, 0.0]]}";40.0;Vauboyen;45.0;0.0;0.0;0.0;0.0;0.0;1.0;Jouy-en-Josas;;sol;;;0.0;78322;Jouy-en-Josas;;43215.0;Vauboyen;63454.0;Vauboyen;VAUBOYEN (SNCF)
